Price,Close,High,Low,Open,Volume
Ticker,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS
Date,,,,,
2026-02-13,1519.0,1543.0,1507.0,1543.0,1838361
2026-02-16,1540.0999755859375,1545.5,1495.300048828125,1517.5,1644108
2026-02-17,1566.300048828125,1576.5,1535.699951171875,1545.0,3168457
2026-02-18,1550.800048828125,1565.0,1540.0,1565.0,1326139
2026-02-19,1513.300048828125,1550.800048828125,1506.699951171875,1550.0,984392
2026-02-20,1511.5,1529.199951171875,1505.199951171875,1513.300048828125,1126987
2026-02-23,1555.800048828125,1564.5,1510.800048828125,1511.0,3113728
2026-02-24,1555.4000244140625,1564.0,1536.4000244140625,1553.699951171875,1360612
2026-02-25,1528.699951171875,1584.0,1518.5,1567.0,2153982
2026-02-26,1550.5999755859375,1554.5999755859375,1526.0,1537.5999755859375,1353287
2026-02-27,1521.0,1545.0999755859375,1516.199951171875,1545.0,1596106
2026-03-02,1470.300048828125,1497.300048828125,1430.0,1462.0,4207514
2026-03-04,1434.4000244140625,1450.5,1409.0,1435.0,3386838
2026-03-05,1499.300048828125,1505.5,1447.199951171875,1447.199951171875,3236481
2026-03-06,1477.5,1497.800048828125,1470.0,1489.0,2576061
2026-03-09,1421.300048828125,1436.0999755859375,1405.0,1405.0,4874245
2026-03-10,1424.0999755859375,1470.300048828125,1416.5,1450.0,2706284
2026-03-11,1410.800048828125,1454.9000244140625,1405.699951171875,1425.0,2212011
2026-03-12,1391.5,1418.5999755859375,1375.300048828125,1402.5,2699173
2026-03-13,1363.199951171875,1390.0,1354.0,1388.699951171875,2688551
