Price,Close,High,Low,Open,Volume
Ticker,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS
Date,,,,,
2026-02-13,9760.0,9900.5,9720.0,9800.5,120688
2026-02-16,9697.5,9774.5,9643.0,9710.0,88321
2026-02-17,9826.5,9869.0,9632.5,9651.0,159113
2026-02-18,9980.0,10009.0,9804.5,9826.5,334455
2026-02-19,9729.0,10059.5,9701.0,9991.0,310761
2026-02-20,9807.0,9823.0,9670.5,9725.0,291070
2026-02-23,9905.5,9930.0,9814.0,9851.0,145464
2026-02-24,9829.0,9875.0,9660.0,9875.0,259761
2026-02-25,10097.0,10160.0,9839.5,9859.5,334366
2026-02-26,10110.0,10187.0,10029.5,10146.5,177814
2026-02-27,9972.5,10091.5,9940.0,10072.5,231926
2026-03-02,9776.0,9941.5,9565.0,9725.5,330330
2026-03-04,9652.5,9704.5,9516.5,9516.5,319652
2026-03-05,9804.5,9853.0,9641.0,9674.5,300749
2026-03-06,9816.0,9884.5,9690.0,9780.0,386552
2026-03-09,9383.0,9645.5,9351.0,9600.0,334501
2026-03-10,9610.0,9637.5,9349.0,9449.5,463535
2026-03-11,9327.5,9666.0,9270.0,9575.0,489382
2026-03-12,9162.0,9280.0,9080.0,9280.0,390062
2026-03-13,8875.0,9119.5,8832.5,9075.0,435603
