Price,Close,High,Low,Open,Volume
Ticker,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS
Date,,,,,
2026-02-13,6168.5,6200.0,6054.0,6141.0,299364
2026-02-16,6149.5,6222.0,6008.5,6105.5,175634
2026-02-17,6187.5,6230.0,6102.5,6125.5,151261
2026-02-18,6283.5,6299.0,6165.0,6165.0,438670
2026-02-19,6297.5,6350.0,6251.0,6255.0,185828
2026-02-20,6291.0,6320.0,6251.5,6297.5,338573
2026-02-23,6293.5,6343.5,6245.5,6337.0,97285
2026-02-24,6255.5,6293.5,6226.5,6255.0,92139
2026-02-25,6395.5,6418.0,6250.0,6254.5,348440
2026-02-26,6474.0,6564.5,6376.0,6442.0,392374
2026-02-27,6408.5,6475.0,6383.5,6424.0,466870
2026-03-02,6403.5,6419.0,6263.5,6271.5,300339
2026-03-04,6316.0,6363.5,6238.5,6340.0,369392
2026-03-05,6364.5,6395.0,6300.0,6316.5,291293
2026-03-06,6329.0,6428.0,6315.0,6340.0,269349
2026-03-09,6330.0,6364.0,6173.5,6277.0,260778
2026-03-10,6372.0,6479.0,6354.0,6364.5,298252
2026-03-11,6352.5,6450.0,6330.0,6373.0,254117
2026-03-12,6282.0,6330.5,6221.0,6330.0,153876
2026-03-13,6071.0,6326.0,6055.0,6275.0,200922
