Price,Close,High,Low,Open,Volume
Ticker,GRASIM.NS,GRASIM.NS,GRASIM.NS,GRASIM.NS,GRASIM.NS
Date,,,,,
2026-02-13,2888.0,2934.0,2877.39990234375,2929.300048828125,419620
2026-02-16,2912.699951171875,2918.0,2861.300048828125,2870.0,285131
2026-02-17,2900.39990234375,2917.0,2880.199951171875,2902.10009765625,458126
2026-02-18,2933.800048828125,2938.89990234375,2900.0,2900.0,350421
2026-02-19,2864.300048828125,2960.0,2846.89990234375,2928.10009765625,388104
2026-02-20,2832.800048828125,2890.0,2822.699951171875,2864.89990234375,597887
2026-02-23,2873.39990234375,2883.699951171875,2839.699951171875,2844.0,593878
2026-02-24,2879.300048828125,2886.699951171875,2847.39990234375,2850.199951171875,593814
2026-02-25,2878.39990234375,2910.699951171875,2867.10009765625,2892.0,595400
2026-02-26,2863.5,2889.89990234375,2846.60009765625,2881.5,662746
2026-02-27,2799.800048828125,2864.60009765625,2784.0,2845.0,1153378
2026-03-02,2777.300048828125,2786.300048828125,2696.39990234375,2729.800048828125,900872
2026-03-04,2683.199951171875,2742.199951171875,2645.0,2727.0,928520
2026-03-05,2724.10009765625,2731.89990234375,2656.800048828125,2685.0,1101224
2026-03-06,2718.39990234375,2759.39990234375,2687.199951171875,2701.5,1457401
2026-03-09,2681.199951171875,2692.800048828125,2631.0,2659.0,1019315
2026-03-10,2743.89990234375,2753.0,2694.199951171875,2701.0,1035360
2026-03-11,2735.60009765625,2762.800048828125,2714.800048828125,2726.60009765625,1492588
2026-03-12,2673.10009765625,2727.39990234375,2660.60009765625,2711.199951171875,952036
2026-03-13,2568.60009765625,2664.0,2563.10009765625,2655.0,1309473
