Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2026-02-13,903.9000244140625,928.2000122070312,901.0,913.0,50188359
2026-02-16,925.7999877929688,929.5,902.0999755859375,903.9000244140625,18806989
2026-02-17,925.7000122070312,928.0999755859375,918.5999755859375,923.0,22599629
2026-02-18,924.7000122070312,925.5,919.5499877929688,923.2000122070312,12738702
2026-02-19,915.5999755859375,929.2000122070312,912.4500122070312,929.0,21209234
2026-02-20,911.8499755859375,917.8499755859375,908.4000244140625,911.0,22654907
2026-02-23,923.5999755859375,925.6500244140625,915.25,916.5,23270122
2026-02-24,910.5,927.9500122070312,909.1500244140625,927.9500122070312,31313985
2026-02-25,907.5999755859375,916.0,903.0999755859375,910.5499877929688,27884303
2026-02-26,898.5999755859375,912.0,895.0,912.0,41165937
2026-02-27,887.75,898.9500122070312,885.0,898.5999755859375,34620755
2026-03-02,879.4000244140625,887.75,871.5499877929688,876.2000122070312,38378924
2026-03-04,868.6500244140625,879.2999877929688,848.0,848.0,39862322
2026-03-05,877.75,881.4000244140625,863.5,873.8499755859375,31324582
2026-03-06,857.0499877929688,871.7000122070312,855.0999755859375,868.0499877929688,34439647
2026-03-09,840.7000122070312,842.4500122070312,821.5,825.0,35592613
2026-03-10,849.4500122070312,856.7999877929688,840.5999755859375,850.0499877929688,52866024
2026-03-11,833.9500122070312,848.8499755859375,827.5999755859375,845.0,42261076
2026-03-12,832.75,836.4000244140625,820.0999755859375,820.0999755859375,46107561
2026-03-13,817.0,823.7999877929688,812.0,820.0,41693319
