Price,Close,High,Low,Open,Volume
Ticker,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
Date,,,,,
2026-02-13,5584.0,5724.5,5560.0,5702.0,394003
2026-02-16,5492.0,5623.5,5459.0,5578.0,285719
2026-02-17,5577.0,5588.0,5446.5,5490.0,288723
2026-02-18,5592.0,5628.0,5546.5,5595.0,197770
2026-02-19,5414.5,5644.5,5387.5,5600.0,307768
2026-02-20,5465.0,5472.0,5375.0,5400.0,560735
2026-02-23,5488.5,5549.0,5437.0,5504.5,310190
2026-02-24,5511.0,5523.0,5436.5,5480.0,396015
2026-02-25,5737.5,5840.0,5500.5,5511.0,898486
2026-02-26,5787.0,5829.0,5718.5,5760.0,489797
2026-02-27,5710.0,5800.0,5689.0,5775.0,584546
2026-03-02,5591.5,5725.0,5503.0,5565.0,432301
2026-03-04,5500.0,5529.0,5427.5,5520.0,455955
2026-03-05,5588.5,5622.5,5480.0,5513.5,545405
2026-03-06,5512.5,5571.5,5490.0,5571.0,431008
2026-03-09,5480.0,5510.0,5337.5,5447.0,306358
2026-03-10,5711.5,5733.5,5527.5,5546.5,493375
2026-03-11,5575.0,5766.0,5554.0,5729.5,511965
2026-03-12,5394.5,5589.0,5376.0,5589.0,476478
2026-03-13,5206.0,5377.5,5168.0,5338.0,496038
