Price,Close,High,Low,Open,Volume
Ticker,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS
Date,,,,,
2026-02-13,926.0499877929688,929.9500122070312,903.3499755859375,922.0,2860622
2026-02-16,931.9000244140625,933.7000122070312,912.1500244140625,930.0,2098887
2026-02-17,943.7999877929688,952.2000122070312,928.2000122070312,931.9000244140625,6284594
2026-02-18,944.6500244140625,950.0,932.7999877929688,944.0,3474257
2026-02-19,927.3499755859375,944.5,923.2000122070312,944.5,2641817
2026-02-20,926.0499877929688,947.9000244140625,922.6500244140625,934.0,6462199
2026-02-23,919.75,934.6500244140625,911.9500122070312,926.0499877929688,4217172
2026-02-24,931.4000244140625,934.4000244140625,912.0,919.75,3079572
2026-02-25,937.3499755859375,941.8499755859375,932.0999755859375,934.0,1173030
2026-02-26,964.5999755859375,968.8499755859375,936.2999877929688,938.0,8974624
2026-02-27,956.75,968.0,951.2000122070312,963.0,3745120
2026-03-02,942.5,955.9500122070312,933.2000122070312,939.0,1568186
2026-03-04,927.5499877929688,942.9500122070312,916.7000122070312,930.0,2527046
2026-03-05,937.2000122070312,947.5499877929688,926.9500122070312,930.0499877929688,1949212
2026-03-06,917.8499755859375,942.9000244140625,912.0499877929688,935.0,1153433
2026-03-09,881.2000122070312,900.0,870.5499877929688,899.0,3362985
2026-03-10,898.7000122070312,904.0499877929688,885.0,892.0,4547967
2026-03-11,877.1500244140625,907.5,873.1500244140625,897.2000122070312,2754525
2026-03-12,831.3499755859375,870.5,828.0,870.0,7514347
2026-03-13,814.4000244140625,833.1500244140625,804.7999877929688,827.0,5606645
