Price,Close,High,Low,Open,Volume
Ticker,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS
Date,,,,,
2026-02-13,1232.0,1247.800048828125,1225.199951171875,1240.0,1726700
2026-02-16,1248.199951171875,1249.9000244140625,1226.5,1229.9000244140625,627073
2026-02-17,1244.5999755859375,1248.0,1233.199951171875,1246.0,1115057
2026-02-18,1251.199951171875,1264.0,1244.199951171875,1244.5999755859375,1389762
2026-02-19,1228.4000244140625,1255.5,1223.0999755859375,1252.0,824461
2026-02-20,1235.800048828125,1253.0,1222.5999755859375,1230.5,876475
2026-02-23,1240.5,1248.0,1228.300048828125,1240.0,787962
2026-02-24,1254.5,1259.0,1230.199951171875,1230.199951171875,1515571
2026-02-25,1275.0,1284.699951171875,1257.300048828125,1261.0,2095033
2026-02-26,1280.5999755859375,1282.300048828125,1270.0,1275.5,779191
2026-02-27,1264.699951171875,1277.800048828125,1260.5,1272.0,2081751
2026-03-02,1267.300048828125,1272.0,1244.699951171875,1253.199951171875,1608917
2026-03-04,1213.0,1253.9000244140625,1200.0,1236.0,1682849
2026-03-05,1248.0999755859375,1253.4000244140625,1214.5,1214.5,1696077
2026-03-06,1233.699951171875,1249.0999755859375,1229.199951171875,1240.699951171875,1140348
2026-03-09,1192.5999755859375,1213.0,1170.199951171875,1203.0,2145649
2026-03-10,1214.300048828125,1219.9000244140625,1195.199951171875,1196.0999755859375,1131600
2026-03-11,1178.800048828125,1222.9000244140625,1171.0,1212.0,1802500
2026-03-12,1172.5999755859375,1182.5,1150.0,1175.0,1265744
2026-03-13,1119.300048828125,1169.199951171875,1115.5,1166.699951171875,2284425
