Price,Close,High,Low,Open,Volume
Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS
Date,,,,,
2026-02-13,4173.89990234375,4199.0,4134.10009765625,4174.10009765625,2234376
2026-02-16,4201.5,4206.0,4135.2998046875,4170.0,852552
2026-02-17,4279.7998046875,4287.0,4190.10009765625,4210.10009765625,1763048
2026-02-18,4325.89990234375,4335.0,4261.10009765625,4290.5,2042626
2026-02-19,4280.5,4334.0,4261.89990234375,4326.10009765625,2007080
2026-02-20,4380.60009765625,4390.0,4267.10009765625,4267.10009765625,2542442
2026-02-23,4418.10009765625,4431.60009765625,4371.7001953125,4395.60009765625,2122782
2026-02-24,4259.2001953125,4440.0,4228.10009765625,4415.5,3673070
2026-02-25,4298.5,4344.89990234375,4254.2001953125,4270.0,2481469
2026-02-26,4286.5,4340.0,4278.2998046875,4304.89990234375,2370148
2026-02-27,4278.2998046875,4304.7001953125,4254.39990234375,4288.89990234375,2357853
2026-03-02,4066.699951171875,4141.39990234375,3975.39990234375,4061.0,6542141
2026-03-04,3882.60009765625,3959.0,3760.0,3950.0,7635350
2026-03-05,4038.699951171875,4072.89990234375,3908.89990234375,3924.199951171875,4996312
2026-03-06,3949.800048828125,4015.0,3941.0,4015.0,2379314
2026-03-09,3842.10009765625,3852.0,3743.0,3850.0,4248784
2026-03-10,3876.0,3972.0,3851.0,3936.0,3330102
2026-03-11,3838.800048828125,3896.699951171875,3832.0,3879.699951171875,2066473
2026-03-12,3719.5,3830.0,3704.89990234375,3825.0,4255443
2026-03-13,3439.0,3697.0,3424.5,3696.0,10777943
