Price,Close,High,Low,Open,Volume
Ticker,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS
Date,,,,,
2026-02-13,5115.5,5178.5,4988.0,5004.0,687029
2026-02-16,5118.5,5144.0,5057.0,5100.0,216966
2026-02-17,5164.5,5234.5,5051.0,5097.0,316641
2026-02-18,5054.0,5195.0,4995.0,5181.5,289565
2026-02-19,4959.5,5117.5,4921.0,5061.0,203502
2026-02-20,4889.5,4961.5,4862.0,4945.0,244127
2026-02-23,4831.5,4876.0,4765.0,4849.5,363966
2026-02-24,4501.0,4780.0,4465.5,4778.0,883696
2026-02-25,4559.0,4661.5,4515.5,4524.0,370208
2026-02-26,4504.0,4655.0,4486.5,4580.0,270646
2026-02-27,4462.0,4649.0,4435.0,4590.0,464787
2026-03-02,4404.39990234375,4477.0,4356.5,4393.89990234375,171388
2026-03-04,4349.2998046875,4434.0,4325.2998046875,4330.10009765625,193103
2026-03-05,4306.39990234375,4412.0,4260.0,4385.0,193854
2026-03-06,4292.0,4388.2998046875,4262.0,4270.0,228424
2026-03-09,4317.2001953125,4356.0,4195.5,4250.0,253802
2026-03-10,4323.10009765625,4369.0,4275.5,4355.0,98559
2026-03-11,4262.7001953125,4373.39990234375,4253.10009765625,4330.0,186094
2026-03-12,4323.60009765625,4372.89990234375,4220.0,4262.7001953125,229386
