Price,Close,High,Low,Open,Volume
Ticker,M&M.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS
Date,,,,,
2026-02-13,3533.39990234375,3596.5,3520.300048828125,3530.0,1632115
2026-02-16,3509.699951171875,3549.5,3469.0,3535.0,1562001
2026-02-17,3489.199951171875,3515.800048828125,3462.0,3509.699951171875,1991583
2026-02-18,3530.5,3545.0,3483.199951171875,3491.10009765625,1682427
2026-02-19,3431.800048828125,3546.5,3421.300048828125,3534.89990234375,2479531
2026-02-20,3412.800048828125,3449.89990234375,3402.5,3443.0,2260853
2026-02-23,3447.10009765625,3457.60009765625,3416.89990234375,3425.0,1789276
2026-02-24,3433.199951171875,3441.0,3390.0,3415.0,1929400
2026-02-25,3491.300048828125,3500.89990234375,3425.39990234375,3435.0,2273269
2026-02-26,3484.60009765625,3507.0,3461.60009765625,3505.0,1998012
2026-02-27,3397.39990234375,3488.10009765625,3381.10009765625,3460.0,3765500
2026-03-02,3334.300048828125,3374.89990234375,3283.0,3299.89990234375,2997529
2026-03-04,3264.300048828125,3278.10009765625,3207.89990234375,3240.0,4537215
2026-03-05,3348.0,3360.60009765625,3276.199951171875,3277.300048828125,2304760
2026-03-06,3332.5,3367.0,3315.0,3315.0,2084605
2026-03-09,3187.60009765625,3250.0,3142.89990234375,3250.0,3961149
2026-03-10,3293.699951171875,3309.39990234375,3228.89990234375,3278.0,2672336
2026-03-11,3168.199951171875,3292.89990234375,3156.0,3276.0,4574950
2026-03-12,3031.199951171875,3142.800048828125,3020.0,3115.10009765625,6968585
2026-03-13,2931.10009765625,3025.0,2922.60009765625,2965.0,7217573
