Price,Close,High,Low,Open,Volume
Ticker,UPL.NS,UPL.NS,UPL.NS,UPL.NS,UPL.NS
Date,,,,,
2026-02-13,724.2999877929688,742.9500122070312,720.9500122070312,740.1500244140625,1332082
2026-02-16,733.7999877929688,736.6500244140625,716.4000244140625,719.1500244140625,685996
2026-02-17,741.1500244140625,741.9500122070312,728.5499877929688,731.0,472779
2026-02-18,747.6500244140625,757.0,739.75,742.9500122070312,2240635
2026-02-19,765.0499877929688,771.9000244140625,747.6500244140625,747.6500244140625,2242488
2026-02-20,752.3499755859375,770.9000244140625,744.5999755859375,760.0999755859375,2400204
2026-02-23,644.7999877929688,714.75,625.5499877929688,714.75,22336295
2026-02-24,630.5499877929688,653.6500244140625,627.3499755859375,645.0,7889253
2026-02-25,626.2000122070312,635.0,620.5,635.0,5081011
2026-02-26,640.4500122070312,641.7000122070312,622.0,626.8499755859375,4874080
2026-02-27,637.4000244140625,643.25,631.5,640.5499877929688,4377806
2026-03-02,622.8499755859375,638.0,617.25,622.25,2404381
2026-03-04,614.0999755859375,621.0,601.0,621.0,3558558
2026-03-05,629.5999755859375,631.5999755859375,616.0499877929688,621.0499877929688,2530219
2026-03-06,628.3499755859375,635.0,626.2000122070312,629.2999877929688,3095128
2026-03-09,625.0,627.4000244140625,606.25,610.0,4705618
2026-03-10,630.2999877929688,633.5499877929688,622.8499755859375,630.0,1476957
2026-03-11,625.8499755859375,636.2999877929688,624.0,631.7000122070312,1418800
2026-03-12,629.0499877929688,633.75,616.9500122070312,623.5,1299556
2026-03-13,609.4000244140625,628.0999755859375,603.0,628.0,1954854
